name,team,location,height,weight,year,country,url,changshu,xianfa,fenzhong,mingzhonglv,sanfen,faqiu,jingong,fanshou,defen,lanban,zhugong,qiangduan,gaimao,shiwu,fangui
Juancho Hernangomez,森林狼,前锋,2.06,97.1 公斤,4,西班牙,https://china.nba.com//players/#!/juan_hernangomez,205,51,16.2,42.8,35.9,72.2,0.8,2.6,5.3,3.4,0.7,0.4,0.2,0.5,1.2
Willy Hernangomez,鹈鹕,中锋-前锋,2.11,113.4 公斤,4,西班牙,https://china.nba.com//players/#!/willy_hernangomez,209,26,14.4,53.1,33.0,68.7,1.9,3.5,6.9,5.4,1.0,0.4,0.4,1.1,1.7
Tyler Herro,热火,后卫,1.96,88.5 公斤,1,美国,https://china.nba.com//players/#!/tyler_herro,55,8,27.4,42.8,38.9,87.0,0.3,3.8,13.5,4.1,2.2,0.6,0.2,1.6,1.4
Buddy Hield,国王,后卫,1.93,99.8 公斤,4,巴哈马,https://china.nba.com//players/#!/buddy_hield,316,194,27.7,44.1,41.1,86.6,0.8,3.4,15.9,4.2,2.2,0.8,0.3,1.7,2.0
George Hill,雷霆,后卫,1.90,85.3 公斤,12,美国,https://china.nba.com//players/#!/george_hill,785,449,27.7,45.7,38.4,80.3,0.6,2.5,11.1,3.1,3.2,0.9,0.3,1.3,2.0
Solomon Hill,老鹰,前锋,1.98,102.5 公斤,7,美国,https://china.nba.com//players/#!/solomon_hill,364,172,22.0,39.5,33.6,80.1,0.7,2.5,5.8,3.2,1.6,0.7,0.2,0.9,1.7
Nate Hinton,独行侠,后卫-前锋,1.96,95.3 公斤,0,美国,https://china.nba.com//players/#!/nate_hinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Holiday,步行者,后卫,1.83,83.9 公斤,2,美国,https://china.nba.com//players/#!/aaron_holiday,116,33,19.5,41.0,37.4,83.9,0.2,1.7,7.9,1.9,2.7,0.7,0.3,1.1,1.7
Jrue Holiday,雄鹿,后卫,1.90,93.0 公斤,11,美国,https://china.nba.com//players/#!/jrue_holiday,713,640,33.2,45.3,35.4,77.7,0.9,3.1,15.9,3.9,6.4,1.5,0.5,2.8,2.3
Justin Holiday,步行者,前锋-后卫,1.98,81.6 公斤,7,美国,https://china.nba.com//players/#!/justin_holiday,430,168,23.0,39.6,36.0,82.6,0.4,2.5,8.1,2.9,1.4,1.0,0.4,0.9,1.6
Rondae Hollis Jefferson,森林狼,前锋,1.98,98.4 公斤,5,美国,https://china.nba.com//players/#!/rondae_hollis-jefferson,294,153,22.6,44.8,21.3,73.8,1.5,4.2,9.3,5.6,1.9,0.9,0.5,1.3,2.1
Richaun Holmes,国王,前锋,2.08,106.6 公斤,5,美国,https://china.nba.com//players/#!/richaun_holmes,270,62,18.8,58.3,25.7,72.4,1.7,3.3,8.4,5.0,0.9,0.6,1.0,0.8,2.6
Caleb Homesley,奇才,后卫,1.98,93.0 公斤,0,美国,https://china.nba.com//players/#!/caleb_homesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodney Hood,开拓者,后卫-前锋,2.03,94.3 公斤,6,美国,https://china.nba.com//players/#!/rodney_hood,341,248,27.3,42.6,37.2,83.9,0.4,2.5,12.5,2.9,1.9,0.8,0.2,1.1,2.2
Al Horford,雷霆,中锋-前锋,2.06,108.9 公斤,13,多明尼加共和国,https://china.nba.com//players/#!/al_horford,853,843,32.6,52.0,36.4,75.4,2.1,6.2,13.9,8.3,3.3,0.8,1.2,1.6,2.3
Talen Horton-Tucker,湖人,后卫,1.93,106.1 公斤,1,美国,https://china.nba.com//players/#!/talen_horton-tucker,6,1,13.5,46.7,30.8,50.0,0.3,0.8,5.7,1.2,1.0,1.3,0.2,1.0,1.7
Danuel House Jr.,火箭,前锋-后卫,1.98,99.8 公斤,4,美国,https://china.nba.com//players/#!/danuel_house,126,68,26.2,43.9,36.9,80.2,0.8,3.1,9.4,3.8,1.2,0.8,0.4,0.8,1.9
Dwight Howard,76人,中锋-前锋,2.08,120.2 公斤,16,美国,https://china.nba.com//players/#!/dwight_howard,1113,1045,33.5,58.6,13.2,56.5,3.5,8.9,16.7,12.3,1.4,0.9,1.9,2.8,3.2
Markus Howard,掘金,后卫,1.80,79.4 公斤,0,美国,https://china.nba.com//players/#!/markus_howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
